rank,candidate_id,predicted_value,uncertainty,failure_risk,failure_penalty,acquisition_score,risk_flag,selection_reason,material_id,failure_label
27,216,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
28,217,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
29,218,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
30,219,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
31,220,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
32,222,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
33,223,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
34,225,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
35,204,0.0,0.0,0.14763990548281458,0.14763990548281458,0.14763990548281458,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
36,212,0.0,0.0,0.14763990548281458,0.14763990548281458,0.14763990548281458,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
37,214,0.0,0.0,0.14763990548281458,0.14763990548281458,0.14763990548281458,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
38,221,0.0,0.0,0.14763990548281458,0.14763990548281458,0.14763990548281458,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
39,224,0.0,0.0,0.14763990548281458,0.14763990548281458,0.14763990548281458,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
40,226,0.0,0.0,0.14763990548281458,0.14763990548281458,0.14763990548281458,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
41,411,0.0,0.0,0.15209874024189185,0.15209874024189185,0.15209874024189185,elevated,ranked by failure-aware LCB soft penalty,bulk_ni,success
42,412,0.0,0.0,0.15209874024189185,0.15209874024189185,0.15209874024189185,elevated,ranked by failure-aware LCB soft penalty,bulk_ni,success
43,413,0.0,0.0,0.15209874024189185,0.15209874024189185,0.15209874024189185,elevated,ranked by failure-aware LCB soft penalty,bulk_ni,success
44,414,0.0,0.0,0.15209874024189185,0.15209874024189185,0.15209874024189185,elevated,ranked by failure-aware LCB soft penalty,bulk_ni,success
45,415,0.0,0.0,0.15209874024189185,0.15209874024189185,0.15209874024189185,elevated,ranked by failure-aware LCB soft penalty,bulk_ni,success
46,416,0.0,0.0,0.15209874024189185,0.15209874024189185,0.15209874024189185,elevated,ranked by failure-aware LCB soft penalty,bulk_ni,success
47,241,0.0,0.0,0.40069919580231295,0.40069919580231295,0.40069919580231295,elevated,ranked by failure-aware LCB soft penalty,bulk_li2nav2po43,success
48,242,0.0,0.0,0.40069919580231295,0.40069919580231295,0.40069919580231295,elevated,ranked by failure-aware LCB soft penalty,bulk_li2nav2po43,success
49,243,0.0,0.0,0.40069919580231295,0.40069919580231295,0.40069919580231295,elevated,ranked by failure-aware LCB soft penalty,bulk_li2nav2po43,success
50,0,0.0,0.0,0.803412459754468,0.803412459754468,0.803412459754468,elevated,ranked by failure-aware LCB soft penalty,h2_r0p620000,success
