failure_penalty,rank,record_id,material_id,failure_label,true_success,predicted_value,uncertainty,failure_risk,failure_aware_score
1.0,18,739,h2o_generated,success,1,0.0,0.0,0.025920090212289915,0.025920090212289915
1.0,19,370,bulk_nacoo2,success,1,0.0,0.0,0.03962372494413746,0.03962372494413746
1.0,20,539,co,success,1,0.0,0.0,0.042681361674308915,0.042681361674308915
1.0,21,871,n2,success,1,0.0,0.0,0.04331880958424161,0.04331880958424161
1.0,22,455,bulk_si_generated,success,1,0.0,0.0,0.051527093262967005,0.051527093262967005
1.0,23,450,bulk_si_generated,success,1,0.0,0.0,0.051527093262967005,0.051527093262967005
1.0,24,454,bulk_si_generated,success,1,0.0,0.0,0.051527093262967005,0.051527093262967005
1.0,25,708,graphene_generated,success,1,0.0,0.0,0.0780809524861309,0.0780809524861309
1.0,26,735,h2o,success,1,0.0,0.0,0.113800607994329,0.113800607994329
1.0,27,235,bulk_ge,success,1,0.0,0.0,0.15964661901142174,0.15964661901142174
1.0,28,895,o_on_ni111,success,1,0.0,0.0,0.25531463479255956,0.25531463479255956
1.0,29,963,o_on_ni111,scf_not_converged,0,0.0,0.0,0.25531463479255956,0.25531463479255956
1.0,30,958,o_on_ni111,success,1,0.0,0.0,0.25531463479255956,0.25531463479255956
1.0,31,776,h_on_pt111,success,1,0.0,0.0,0.2585982011743957,0.2585982011743957
1.0,32,749,h_on_cu111,success,1,0.0,0.0,0.2657347490963564,0.2657347490963564
1.0,33,754,h_on_cu111,success,1,0.0,0.0,0.2657347490963564,0.2657347490963564
1.0,34,715,h2_generated,success,1,0.0,0.0,0.3522690718267244,0.3522690718267244
1.0,35,716,h2_generated,success,1,0.0,0.0,0.3522690718267244,0.3522690718267244
1.0,36,719,h2_generated,success,1,0.0,0.0,0.3522690718267244,0.3522690718267244
1.0,37,510,ch4,job_not_completed,0,0.0,0.0,0.7224495967403417,0.7224495967403417
1.0,38,509,ch4,job_not_completed,0,0.0,0.0,0.7224495967403417,0.7224495967403417
1.0,39,402,bulk_nacoo2,scf_not_converged,0,0.0,0.0,0.833177939910468,0.833177939910468
1.0,40,377,bulk_nacoo2,scf_not_converged,0,0.0,0.0,0.833177939910468,0.833177939910468
1.0,41,24,h2_r1p984848,job_not_completed,0,0.0,0.0,0.8977261580587594,0.8977261580587594
1.0,42,52,h2_r2p000000,job_not_completed,0,0.0,0.0,0.899132182884137,0.899132182884137
1.0,43,51,h2_r2p000000,job_not_completed,0,0.0,0.0,0.899132182884137,0.899132182884137
1.0,44,147,bulk_cu,job_not_completed,0,0.0,0.0,0.9590077013956235,0.9590077013956235
1.0,45,900,o_on_ni111,qe_error,0,0.0,0.0,0.9592214366125992,0.9592214366125992
1.0,46,920,o_on_ni111,qe_error,0,0.0,0.0,0.9592214366125992,0.9592214366125992
1.0,47,932,o_on_ni111,qe_error,0,0.0,0.0,0.9592214366125992,0.9592214366125992
1.0,48,902,o_on_ni111,qe_error,0,0.0,0.0,0.9592214366125992,0.9592214366125992
1.0,49,614,co_on_pt111,qe_error,0,0.0,0.0,0.9771047836137583,0.9771047836137583
1.0,50,666,co_on_pt111,qe_error,0,0.0,0.0,0.9771047836137583,0.9771047836137583
2.0,1,811,mos2,success,1,0.0,0.0,4.3010752688088516e-05,8.602150537617703e-05
2.0,2,836,mos2,success,1,0.0,0.0,4.3010752688088516e-05,8.602150537617703e-05
2.0,3,797,mos2,success,1,0.0,0.0,4.3010752688088516e-05,8.602150537617703e-05
2.0,4,492,bulk_tio2,success,1,0.0,0.0,0.0015188172043010262,0.0030376344086020524
2.0,5,114,bulk_alas,success,1,0.0,0.0,0.0029877437579733934,0.005975487515946787
2.0,6,420,bulk_nial,success,1,0.0,0.0,0.007322415472714838,0.014644830945429677
2.0,7,413,bulk_ni,success,1,0.0,0.0,0.007781763935711283,0.015563527871422567
2.0,8,780,h_on_pt111,success,1,0.0,0.0,0.011938990888375578,0.023877981776751156
2.0,9,891,o_on_cu111,success,1,0.0,0.0,0.012857294100372618,0.025714588200745236
2.0,10,226,bulk_fe,success,1,0.0,0.0,0.015349589600083813,0.030699179200167626
2.0,11,543,co_on_cu111,success,1,0.0,0.0,0.01596122788067289,0.03192245576134578
