material_id,qe_input_path,qe_output_path,converged,job_done,scf_iterations,final_energy_ry,energy_ev,max_force,pressure_kbar,wall_time,failure_reason,ecutwfc,ecutrho,kpoints,smearing,mixing_beta,pseudo_family,pseudopotentials,calculation_hash
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p5000_pid8628_att3/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p5000_pid8628_att3/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",418d3e8d7ef0741eb951547ccdb9035052e96117f511ec1cf8e5b931ac38bf99
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p5300_pid8628_att1/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p5300_pid8628_att1/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",8552a93fa3cfa85dc7ed82c4221620f46d8f74050d35eeb2ac9bbd496094021e
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p5300_pid8628_att2/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p5300_pid8628_att2/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",dc5ba9d47c1e80ce2e374598b43de6ef24c6a66d5f39b89f643902289a4edaf2
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p5300_pid8628_att3/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p5300_pid8628_att3/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",3cb4217bb1f8df2673bf18498f77b91698154e92389e7ca44005b80f8bb2f7e5
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2300_c21p0000_pid8100_att1/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2300_c21p0000_pid8100_att1/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,2 2 2 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",a6d7012fdc258b1eced7efccba487eefa220bb4f4783846397148017a941bc61
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2300_c21p0000_pid8100_att2/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2300_c21p0000_pid8100_att2/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,2 2 2 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",eaa517647bb980136ac7d82905fbe20b5c3560dc718c03a0d16412c30c10fca0
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2300_c21p0000_pid8100_att3/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2300_c21p0000_pid8100_att3/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,2 2 2 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",37ebd6aa0dbc214be493e3edf3e94e693d1c3afa903396d58757274df89cbe99
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2300_c21p5000_pid8628_att1/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2300_c21p5000_pid8628_att1/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",87a200acfe4bf3dbe8a22f5e73569a9afdfa378cfaca5094079c5f9f3be3be0d
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2300_c21p5000_pid8628_att2/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2300_c21p5000_pid8628_att2/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",6b87b4cadc9db43d90615288a61ccb53c39018f88f111fc6d9350ee0563d3b3f
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2300_c21p5000_pid8628_att3/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2300_c21p5000_pid8628_att3/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",2418cbb8b29bafaced9e163e34c749679bd02cce71427a48221f613762d566bd
